Step: 920, Elapsed: 222.19s, Loss: 690.107605, Valid Loss: 735.579773, y_init: -11.084755
Step: 930, Elapsed: 224.63s, Loss: 628.119141, Valid Loss: 694.810608, y_init: -10.175516
Step: 940, Elapsed: 227.01s, Loss: 829.269043, Valid Loss: 657.699707, y_init: -11.605241
Step: 950, Elapsed: 229.45s, Loss: 758.921814, Valid Loss: 657.224487, y_init: -12.610695
Step: 960, Elapsed: 231.82s, Loss: 657.734924, Valid Loss: 666.799438, y_init: -12.163843
Step: 970, Elapsed: 234.26s, Loss: 606.325073, Valid Loss: 638.248169, y_init: -10.646590
Step: 980, Elapsed: 236.64s, Loss: 636.838684, Valid Loss: 661.481079, y_init: -9.924127
Step: 990, Elapsed: 239.08s, Loss: 674.025391, Valid Loss: 613.813416, y_init: -11.671685
Step: 1000, Elapsed: 241.52s, Loss: 587.532227, Valid Loss: 588.751831, y_init: -10.103804
Step: 1010, Elapsed: 243.89s, Loss: 607.786133, Valid Loss: 566.816528, y_init: -10.668004
Step: 1020, Elapsed: 246.34s, Loss: 536.738770, Valid Loss: 571.018188, y_init: -10.385985
Step: 1030, Elapsed: 248.71s, Loss: 609.750183, Valid Loss: 559.412781, y_init: -10.483010
Step: 1040, Elapsed: 251.15s, Loss: 606.075745, Valid Loss: 529.814575, y_init: -9.987086
Step: 1050, Elapsed: 253.58s, Loss: 488.049347, Valid Loss: 539.206604, y_init: -9.603072
Step: 1060, Elapsed: 255.96s, Loss: 555.333191, Valid Loss: 528.697449, y_init: -8.351495
Step: 1070, Elapsed: 258.40s, Loss: 1708.663330, Valid Loss: 2794.034180, y_init: -8.676261
Step: 1080, Elapsed: 260.78s, Loss: 694.520264, Valid Loss: 818.055786, y_init: -9.213794
Step: 1090, Elapsed: 263.22s, Loss: 486.652161, Valid Loss: 520.887756, y_init: -7.825456
Step: 1100, Elapsed: 265.65s, Loss: 464.163147, Valid Loss: 469.393036, y_init: -7.968621
Step: 1110, Elapsed: 268.03s, Loss: 445.617584, Valid Loss: 470.886688, y_init: -8.474076
Step: 1120, Elapsed: 270.47s, Loss: 479.290222, Valid Loss: 464.348480, y_init: -7.768913
Step: 1130, Elapsed: 272.84s, Loss: 432.356415, Valid Loss: 421.865326, y_init: -8.022736
Step: 1140, Elapsed: 275.28s, Loss: 368.241150, Valid Loss: 425.479187, y_init: -8.139822
Step: 1150, Elapsed: 277.66s, Loss: 438.015991, Valid Loss: 437.037292, y_init: -7.949559
Step: 1160, Elapsed: 280.11s, Loss: 430.769592, Valid Loss: 390.335541, y_init: -8.935399
Step: 1170, Elapsed: 282.55s, Loss: 417.414093, Valid Loss: 408.410645, y_init: -5.789886
Step: 1180, Elapsed: 284.92s, Loss: 408.388977, Valid Loss: 394.893066, y_init: -7.115668
Step: 1190, Elapsed: 287.37s, Loss: 414.370239, Valid Loss: 377.295532, y_init: -7.938972
Step: 1200, Elapsed: 289.74s, Loss: 369.983032, Valid Loss: 381.840546, y_init: -7.309329
Step: 1210, Elapsed: 292.18s, Loss: 362.411865, Valid Loss: 362.333344, y_init: -5.626822
Step: 1220, Elapsed: 294.62s, Loss: 349.173309, Valid Loss: 337.410583, y_init: -5.708896
Step: 1230, Elapsed: 297.00s, Loss: 337.774567, Valid Loss: 339.098969, y_init: -5.443256
Step: 1240, Elapsed: 299.45s, Loss: 336.943298, Valid Loss: 339.354553, y_init: -6.439726
Step: 1250, Elapsed: 301.82s, Loss: 340.912598, Valid Loss: 388.119934, y_init: -5.184434
Step: 1260, Elapsed: 304.26s, Loss: 384.612305, Valid Loss: 331.906738, y_init: -4.893981
Step: 1270, Elapsed: 306.70s, Loss: 1906.149048, Valid Loss: 3516.616699, y_init: -5.308088
Step: 1280, Elapsed: 309.08s, Loss: 355.285339, Valid Loss: 288.566193, y_init: -4.561324
Step: 1290, Elapsed: 311.52s, Loss: 297.853088, Valid Loss: 286.635956, y_init: -4.955524
Step: 1300, Elapsed: 313.89s, Loss: 288.182098, Valid Loss: 291.252380, y_init: -4.800868
Step: 1310, Elapsed: 316.34s, Loss: 291.469543, Valid Loss: 261.388641, y_init: -4.175621
Step: 1320, Elapsed: 318.71s, Loss: 260.208954, Valid Loss: 244.590393, y_init: -4.003228
Step: 1330, Elapsed: 321.15s, Loss: 239.824097, Valid Loss: 263.496521, y_init: -1.559712
Step: 1340, Elapsed: 323.59s, Loss: 267.018494, Valid Loss: 245.992630, y_init: -0.274267
Step: 1350, Elapsed: 325.97s, Loss: 266.634308, Valid Loss: 260.440887, y_init: -2.422664
Step: 1360, Elapsed: 328.42s, Loss: 240.093399, Valid Loss: 231.205185, y_init: -1.630287
Step: 1370, Elapsed: 330.79s, Loss: 253.639359, Valid Loss: 240.061142, y_init: -1.785527
Step: 1380, Elapsed: 333.24s, Loss: 220.083710, Valid Loss: 224.970169, y_init: -0.600516
Step: 1390, Elapsed: 335.68s, Loss: 207.884552, Valid Loss: 196.988403, y_init: -1.882103
Step: 1400, Elapsed: 338.06s, Loss: 210.707245, Valid Loss: 201.813644, y_init: -0.564146
Step: 1410, Elapsed: 340.34s, Loss: 238.849930, Valid Loss: 208.062637, y_init: -0.631303
Step: 1420, Elapsed: 342.53s, Loss: 179.897446, Valid Loss: 213.956436, y_init: -0.370650
Step: 1430, Elapsed: 344.78s, Loss: 266.541107, Valid Loss: 202.319397, y_init: 1.437089
Step: 1440, Elapsed: 347.02s, Loss: 158.636505, Valid Loss: 180.332947, y_init: 2.837715
Step: 1450, Elapsed: 349.20s, Loss: 214.362396, Valid Loss: 184.451981, y_init: 1.949994
Step: 1460, Elapsed: 351.53s, Loss: 168.821106, Valid Loss: 175.413589, y_init: 2.762362
Step: 1470, Elapsed: 353.73s, Loss: 173.011612, Valid Loss: 174.523163, y_init: 1.657796
Step: 1480, Elapsed: 355.99s, Loss: 226.688507, Valid Loss: 248.784821, y_init: 1.375923
Step: 1490, Elapsed: 358.19s, Loss: 180.255524, Valid Loss: 198.209442, y_init: 1.531356
Step: 1500, Elapsed: 360.45s, Loss: 167.247635, Valid Loss: 182.110382, y_init: 3.719793
Step: 1510, Elapsed: 362.71s, Loss: 161.358902, Valid Loss: 170.545334, y_init: 4.988348
Step: 1520, Elapsed: 364.90s, Loss: 426.325439, Valid Loss: 634.442627, y_init: 5.861614
Step: 1530, Elapsed: 367.17s, Loss: 165.145721, Valid Loss: 170.950424, y_init: 4.614213
Step: 1540, Elapsed: 369.36s, Loss: 160.075989, Valid Loss: 173.472946, y_init: 5.438452
Step: 1550, Elapsed: 371.63s, Loss: 179.707993, Valid Loss: 276.834717, y_init: 4.737680
Step: 1560, Elapsed: 373.87s, Loss: 319.309357, Valid Loss: 432.380859, y_init: 5.622534
Step: 1570, Elapsed: 376.04s, Loss: 190.663803, Valid Loss: 205.641449, y_init: 6.213651
Step: 1580, Elapsed: 378.27s, Loss: 604.495667, Valid Loss: 1050.241333, y_init: 6.417042
Step: 1590, Elapsed: 380.45s, Loss: 167.409790, Valid Loss: 193.792847, y_init: 6.909720
Step: 1600, Elapsed: 382.70s, Loss: 132.144730, Valid Loss: 144.058838, y_init: 7.677136
Step: 1610, Elapsed: 384.94s, Loss: 379.815552, Valid Loss: 570.255737, y_init: 9.730701
Step: 1620, Elapsed: 387.12s, Loss: 501.120483, Valid Loss: 686.064819, y_init: 6.872936
Step: 1630, Elapsed: 389.37s, Loss: 144.608643, Valid Loss: 150.209900, y_init: 8.832690
Step: 1640, Elapsed: 391.55s, Loss: 156.378189, Valid Loss: 151.333878, y_init: 10.358342
Step: 1650, Elapsed: 393.79s, Loss: 167.155060, Valid Loss: 167.992172, y_init: 9.383805
Step: 1660, Elapsed: 395.99s, Loss: 442.865540, Valid Loss: 438.863068, y_init: 10.566769
Step: 1670, Elapsed: 398.24s, Loss: 150.794327, Valid Loss: 136.893127, y_init: 9.646170
Step: 1680, Elapsed: 400.49s, Loss: 142.222672, Valid Loss: 154.826660, y_init: 11.501410
